title	artist
Growing Pains	Alessia Cara
Best Life	Cardi B Featuring Chance The Rapper
Trust	Justin Bieber
Hot Shower	Chance The Rapper Featuring MadeinTYO & DaBaby
We Own It (Fast & Furious)	2 Chainz & Wiz Khalifa
She Won’t Be Lonely Long	Clay Walker
I Hold On	Dierks Bentley
Body and Soul	Tony Bennett & Amy Winehouse
You	Jacquees
Waiting For Superman	Daughtry
NUMB	XXXTENTACION
Same Love	Macklemore & Ryan Lewis Featuring Mary Lambert
Cheerleader	OMI
The House That Built Me	Miranda Lambert
7/11	Beyonce
Wavin’ Flag	K'Naan
Yuck!	2 Chainz Featuring Lil Wayne
BAD!	XXXTENTACION
Play It Again	Luke Bryan
U With Me?	Drake
No Hands	Waka Flocka Flame Featuring Roscoe Dash & Wale
Gangnam Style	PSY
One in a Million	Ne-Yo
Marvin’s Room	Drake
Get On Your Knees	Nicki Minaj Featuring Ariana Grande
Centuries	Fall Out Boy
Monster	Paramore
No Stylist	French Montana Featuring Drake
I’m a Mess	Bebe Rexha
Heartbeat	Carrie Underwood
Saint-Tropez	Post Malone
Mirror	Lil Wayne Featuring Bruno Mars
Break My Bank	New Boyz Featuring Iyaz
Only Prettier	Miranda Lambert
Party	Chris Brown Featuring Usher & Gucci Mane
Springsteen	Eric Church
The Way	Ariana Grande Featuring Mac Miller
LUST.	Kendrick Lamar
Broken Halos	Chris Stapleton
Tempo	Chris Brown
This Ain’t No Love Song	Trace Adkins
My Man	Glee Cast
Lie	NF
Blame	Calvin Harris Featuring John Newman
Good as Hell	Lizzo
We Are The World 25 For Haiti	Artists For Haiti
Feds Watching	2 Chainz Featuring Pharrell
Type Of Way	Rich Homie Quan
Sober Saturday Night	Chris Young Featuring Vince Gill
Games	Luke Bryan
FRIENDS	Marshmello & Anne-Marie
One Man Band	Old Dominion
Why Ya Wanna	Jana Kramer
You’re Mine (Eternal)	Mariah Carey
White Liar	Miranda Lambert
All to Myself	Dan + Shay
It Ain’t My Fault	Brothers Osborne
Let It Sing	Kevin Gates
(If You’re Wondering If I Want You to) I Want You To	Weezer
Sorry	Justin Bieber
The Middle	Zedd, Maren Morris & Grey
I Could Use a Love Song	Maren Morris
Call Out My Name	The Weeknd
Hello	Glee Cast Featuring Jonathan Groff
Say Something	Justin Timberlake Featuring Chris Stapleton
For the First Time	The Script
I Am	Mary J. Blige
Take Back the Night	Justin Timberlake
Feelin’ It	Scotty McCreery
More	Usher
Ain’t My Fault	Zara Larsson
Galway Girl	Ed Sheeran
Kiss You	One Direction
10 Freaky Girls	Metro Boomin Featuring 21 Savage
Mercy	Shawn Mendes
Boo’d Up	Ella Mai
What Now	Rihanna
If Heaven Wasn’t So Far Away	Justin Moore
This Is What You Came For	Calvin Harris Featuring Rihanna
Automatic	Miranda Lambert
BROWN SKIN GIRL	Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter
Sweatshirt	Jacob Sartorius
Scholarships	Drake & Future
Celebrate	DJ Khaled Featuring Travis Scott & Post Malone
Money Longer	Lil Uzi Vert
This Is America	Childish Gambino
H.O.L.Y.	Florida Georgia Line
Side Effects	The Chainsmokers Featuring Emily Warren
Soldier of Love	Sade
Photograph	J. Cole
I Will Always Love You	Glee Cast
Shark in the Water	V V Brown
Just Us	DJ Khaled Featuring SZA
Night Shift	Jon Pardi
Patty Cake	Kodak Black
Nothing	The Script
Every Time I Hear That Song	Blake Shelton
Madness	Muse
Hideaway	Kiesza
Face My Fears	Hikaru Utada & Skrillex
If You Only Knew	Shinedown
Moment 4 Life	Nicki Minaj Featuring Drake
I Don’t Want This Night to End	Luke Bryan
Walk Thru	Rich Homie Quan Featuring Problem
Temporary Home	Carrie Underwood
Eastside	benny blanco, Halsey & Khalid
Did It for the Girl	Greg Bates
Let It Rain	David Nail Featuring Sarah Buxton
Mona Lisa	Lil Wayne Featuring Kendrick Lamar
Mine	Taylor Swift
Huntin’, Fishin’ & Lovin’ Every Day	Luke Bryan
No Shopping	French Montana Featuring Drake
Only Human	Jonas Brothers
Bartier Cardi	Cardi B Featuring 21 Savage
Perfume	Britney Spears
Post Malone - rockstar ft. 21 Savage (Türkçe Çeviri)	Post Malone Featuring 21 Savage
Sit Still, Look Pretty	Daya
Sun Daze	Florida Georgia Line
​beibs in the trap	Travis Scott
Bad Habits (Uncut)	Maxwell
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Little White Church	Little Big Town
Wrong Baby Wrong Baby Wrong	Martina McBride
Booty	Blac Youngsta
A Sky Full of Stars	Coldplay
LA CANCIÓN	J Balvin & Bad Bunny
I Luh Ya Papi	Jennifer Lopez Featuring French Montana
Helluva Night	Ludacris
Lose My Mind	Young Jeezy Featuring Plies
NEW MAGIC WAND	Tyler, The Creator
Moves	Big Sean
VIBEZ	DaBaby
Renegades	X Ambassadors
ZEZE	Kodak Black Featuring Travis Scott & Offset
Middle	DJ Snake Featuring Bipolar Sunshine
Remember You	Wiz Khalifa Featuring The Weeknd
No Money	Galantis
Miss Movin’ On	Fifth Harmony
Tongue Tied	Grouplove
Digital Dash	Drake & Future
Troublemaker	Olly Murs Featuring Flo Rida
Honey Bee	Blake Shelton
I’m Comin’ Over	Chris Young
If I Had You	Adam Lambert
Can’t Be Friends	Trey Songz
Deja Vu	Post Malone Featuring Justin Bieber
Sippin’ on Fire	Florida Georgia Line
I Will Wait	Mumford & Sons
History	One Direction
Love Somebody	Maroon 5
TiK ToK	Ke$ha
​can’t leave without it	21 Savage
Fall For Your Type	Jamie Foxx Featuring Drake
All Eyes on You	Meek Mill Featuring Chris Brown & Nicki Minaj
Jar of Hearts	Christina Perri
Hallelujah	Pentatonix
Last Hurrah	Bebe Rexha
Cruise (Remix)	Florida Georgia Line Featuring Nelly
Stay	Rihanna Featuring Mikky Ekko
It Don’t Hurt Like It Used To	Billy Currington
Numb	Usher
One Foot	WALK THE MOON
Beautiful People	Chris Brown Featuring Benny Benassi
Super Bass	Nicki Minaj
Regret In Your Tears	Nicki Minaj
Startender	A Boogie Wit da Hoodie Featuring Offset & Tyga
Stuck Like Glue	Sugarland
2018 haywoodindahood Listening Log	Christopher Wilde & Anna Margaret
Praying	Kesha
Black Rain	Soundgarden
Let Her Go	Passenger
The Edge of Glory	Lady Gaga
Moonlight	XXXTENTACION
Promise	Romeo Santos Featuring Usher
Sure Thing	Miguel
Sleeping with a Friend	Neon Trees
Juice	Lizzo
Ayo	Chris Brown & Tyga
Drive By	Train
Chanel (Go Get It)	Young Thug Featuring Gunna & Lil Baby
I Got You	Thompson Square
Hood Go Crazy	Tech N9Ne Featuring 2 Chainz & B.o.B
That’s What I Like	Bruno Mars
Love Me Like You Mean It	Kelsea Ballerini
Somebody	Bridgit Mendler
No	Meghan Trainor
Begin Again	Taylor Swift
Whispers in the Dark	Mumford & Sons
Bully	Shinedown
For The First Time	Darius Rucker
In Your Arms	Nico & Vinz
Sorry	Beyonce
Pound the Alarm	Nicki Minaj
Bad Romance	Glee Cast
From The Ground Up	Dan + Shay
Let Me Love You	DJ Snake Featuring Justin Bieber
Mama’s Song	Carrie Underwood
Mary Did You Know	Jordan Smith
Gonna Know We Were Here	Jason Aldean
Confident	Demi Lovato
Better Than I Used To Be	Tim McGraw
We Run the Night (RedOne Remix)	Havana Brown Featuring Pitbull
Dessert	Dawin
King Kunta	Kendrick Lamar
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
Take Back Home Girl	Chris Lane Featuring Tori Kelly
Maybe	Sick Puppies
The Box	Roddy Ricch
One Day	Matisyahu
Yellow Flicker Beat	Lorde
Don’t Judge Me	Chris Brown
When I Was Your Man	Bruno Mars
The Walker	Fitz And The Tantrums
Lay It Down	Lloyd
Make Me...	Britney Spears Featuring G-Eazy
American Country Love Song	Jake Owen
Sexy and I Know It	LMFAO
Drew Barrymore	Bryce Vine
Home	Machine Gun Kelly, X Ambassadors & Bebe Rexha
No Such Thing as a Broken Heart	Old Dominion
On My Level	Wiz Khalifa Featuring Too $hort
Marry Me	Thomas Rhett
Wanted	Hunter Hayes
Ordinary Girl	Hannah Montana
Season 2 Episode 2: “Sexual Harassment”	Michael Jackson Duet With Akon
Drummer Boy	Justin Bieber Featuring Busta Rhymes
PILLOWTALK	Zayn
Please Me	Cardi B & Bruno Mars
All Gold Everything	Trinidad James
I Really Like You	Carly Rae Jepsen
The Adventures of Rain Dance Maggie	Red Hot Chili Peppers
​Oui	Jeremih
Jump Right In	Zac Brown Band
Backin’ It Up	Pardison Fontaine Featuring Cardi B
Believer	Imagine Dragons
Worth It	YK Osiris
When I’m Gone	Wiz Khalifa
Scars to Your Beautiful	Alessia Cara
Bang Bang	Jessie J, Ariana Grande & Nicki Minaj
As Long As You Love Me	Justin Bieber Featuring Big Sean
Once an Addict (Interlude)	J. Cole
Timeless	A Boogie Wit da Hoodie Featuring DJ SPINKING
Let It Go	Idina Menzel
Let’s Go Crazy	Prince And The Revolution
What About Us	P!nk
